epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,45.1457,0.64714,0.71545,1.17468,0.78148,0.48333,0.5207,0.24758,1.68027,2.02074,1.41107,2.40891e-05,2.40891e-05,2.40891e-05
75,45.8275,0.80996,0.63309,1.07938,0.78231,0.48333,0.5161,0.24497,1.71891,2.03587,1.42452,2.35472e-05,2.35472e-05,2.35472e-05
76,46.42,0.67326,0.67998,1.05022,0.78231,0.48333,0.5161,0.24497,1.71891,2.03587,1.42452,2.29819e-05,2.29819e-05,2.29819e-05
77,47.0084,0.75779,0.82027,1.12308,0.78231,0.48333,0.5161,0.24497,1.71891,2.03587,1.42452,2.23929e-05,2.23929e-05,2.23929e-05
78,47.6374,0.82618,0.99434,1.24404,0.78925,0.48333,0.52976,0.24595,1.74053,2.10817,1.44082,2.17805e-05,2.17805e-05,2.17805e-05
79,48.2311,0.7259,0.91851,1.16638,0.78925,0.48333,0.52976,0.24595,1.74053,2.10817,1.44082,2.11444e-05,2.11444e-05,2.11444e-05
80,48.8116,0.65298,0.62186,1.02708,0.78925,0.48333,0.52976,0.24595,1.74053,2.10817,1.44082,2.04848e-05,2.04848e-05,2.04848e-05
81,49.466,0.78361,0.85021,1.27117,0.7869,0.48333,0.532,0.25449,1.72909,2.06589,1.4322,1.98016e-05,1.98016e-05,1.98016e-05
82,50.0403,0.68695,0.65271,1.21952,0.7869,0.48333,0.532,0.25449,1.72909,2.06589,1.4322,1.90949e-05,1.90949e-05,1.90949e-05
83,50.6921,0.85777,0.68816,1.37437,0.7869,0.48333,0.532,0.25449,1.72909,2.06589,1.4322,1.83646e-05,1.83646e-05,1.83646e-05
84,51.3991,0.72902,0.77694,1.0991,0.79232,0.48333,0.51846,0.25367,1.73141,2.10278,1.42955,1.76107e-05,1.76107e-05,1.76107e-05
85,52.2573,0.76303,0.9195,1.15486,0.79232,0.48333,0.51846,0.25367,1.73141,2.10278,1.42955,1.68333e-05,1.68333e-05,1.68333e-05
86,52.8412,0.67018,1.06585,1.09834,0.79232,0.48333,0.51846,0.25367,1.73141,2.10278,1.42955,1.60323e-05,1.60323e-05,1.60323e-05
87,53.4109,1.1221,1.69969,1.60307,0.79232,0.48333,0.51846,0.25367,1.73141,2.10278,1.42955,1.52077e-05,1.52077e-05,1.52077e-05
88,54.0989,0.62159,0.8521,1.06715,0.79545,0.48333,0.51662,0.23625,1.76172,2.16561,1.45953,1.43596e-05,1.43596e-05,1.43596e-05
89,54.6512,0.56958,0.68755,1.23516,0.79545,0.48333,0.51662,0.23625,1.76172,2.16561,1.45953,1.34879e-05,1.34879e-05,1.34879e-05
90,55.2175,0.85486,0.79862,1.27204,0.79545,0.48333,0.51662,0.23625,1.76172,2.16561,1.45953,1.25927e-05,1.25927e-05,1.25927e-05
91,60.2355,0.50925,0.50398,0.94602,0.79545,0.48333,0.51662,0.23625,1.76172,2.16561,1.45953,1.16739e-05,1.16739e-05,1.16739e-05
92,60.8654,0.4771,0.46138,0.83029,0.80117,0.48333,0.51256,0.24234,1.72638,2.09789,1.42727,1.07315e-05,1.07315e-05,1.07315e-05
93,61.4619,0.57956,0.49265,0.96837,0.80117,0.48333,0.51256,0.24234,1.72638,2.09789,1.42727,9.76562e-06,9.76562e-06,9.76562e-06
94,62.0124,0.56877,0.52397,1.02275,0.80117,0.48333,0.51256,0.24234,1.72638,2.09789,1.42727,8.77613e-06,8.77613e-06,8.77613e-06
95,62.642,0.63561,0.5796,1.05003,0.80117,0.48333,0.51256,0.24234,1.72638,2.09789,1.42727,7.76308e-06,7.76308e-06,7.76308e-06
96,63.5044,0.6486,0.50284,1.20852,0.80006,0.48333,0.51596,0.26128,1.70398,1.97364,1.40493,6.72648e-06,6.72648e-06,6.72648e-06
97,64.1154,0.64101,0.51094,0.99736,0.80006,0.48333,0.51596,0.26128,1.70398,1.97364,1.40493,5.6663e-06,5.6663e-06,5.6663e-06
98,64.7368,0.55389,0.537,1.08635,0.80006,0.48333,0.51596,0.26128,1.70398,1.97364,1.40493,4.58257e-06,4.58257e-06,4.58257e-06
99,65.3237,0.49514,0.48027,0.91196,0.80006,0.48333,0.51596,0.26128,1.70398,1.97364,1.40493,3.47528e-06,3.47528e-06,3.47528e-06
100,65.9712,0.46598,0.48772,1.01303,0.84257,0.48212,0.52227,0.27712,1.71802,1.89591,1.409,2.34442e-06,2.34442e-06,2.34442e-06
